model,threshold,acc,sens,spec,cap_flagged_out,cap_risk_total
GLM,0.05,0.42296918767507,0.9947159841479525,0.0019455252918287938,720216.0555555556,50971431.09051144
GLM,0.060000000000000005,0.42296918767507,0.9947159841479525,0.0019455252918287938,720216.0555555556,50971431.09051144
GLM,0.07,0.42521008403361343,0.9947159841479525,0.005836575875486381,742378.7777777779,50971431.09051144
GLM,0.08,0.4319327731092437,0.9933949801849405,0.01848249027237354,932343.5555555559,50971431.09051144
GLM,0.09,0.4470588235294118,0.9933949801849405,0.04474708171206226,1560932.4444444433,50971431.09051144
GLM,0.1,0.4711484593837535,0.9920739762219286,0.08754863813229571,2213626.1111111105,50971431.09051144
GLM,0.11,0.5103641456582633,0.9920739762219286,0.1556420233463035,3317840.3888888927,50971431.09051144
GLM,0.12000000000000001,0.538375350140056,0.9867899603698811,0.20817120622568094,4328851.833333339,50971431.09051144
GLM,0.13,0.5719887955182072,0.9828269484808454,0.2694552529182879,6143738.777777758,50971431.09051144
GLM,0.14,0.6072829131652661,0.9696169088507266,0.3404669260700389,7839710.222222195,50971431.09051144
GLM,0.15000000000000002,0.6492997198879552,0.9616908850726552,0.41926070038910507,10176123.777777772,50971431.09051144
GLM,0.16,0.6745098039215687,0.9498018494055482,0.4717898832684825,11922111.388888903,50971431.09051144
GLM,0.16999999999999998,0.7081232492997199,0.9379128137384413,0.5389105058365758,14448354.611111129,50971431.09051144
GLM,0.18,0.7361344537815127,0.9299867899603699,0.5933852140077821,16494998.722222248,50971431.09051144
GLM,0.19,0.769187675070028,0.9247027741083224,0.6546692607003891,18742904.11111112,50971431.09051144
GLM,0.2,0.7893557422969187,0.9101717305151915,0.7003891050583657,21999758.333333258,50971431.09051144
GLM,0.21000000000000002,0.8100840336134454,0.904887714663144,0.7402723735408561,23717954.555555433,50971431.09051144
GLM,0.22000000000000003,0.8218487394957983,0.892998678996037,0.769455252918288,25501994.055555437,50971431.09051144
GLM,0.22999999999999998,0.8352941176470589,0.8837516512549538,0.7996108949416343,26729595.944444302,50971431.09051144
GLM,0.24,0.8453781512605042,0.8718626155878467,0.8258754863813229,28771520.49999985,50971431.09051144
GLM,0.25,0.8492997198879552,0.857331571994716,0.8433852140077821,31308098.166666493,50971431.09051144
GLM,0.26,0.857703081232493,0.8520475561426685,0.8618677042801557,32510589.666666493,50971431.09051144
GLM,0.27,0.8560224089635854,0.8441215323645971,0.8647859922178989,33400448.888888713,50971431.09051144
GLM,0.28,0.8571428571428571,0.8361955085865258,0.872568093385214,34654076.99999981,50971431.09051144
GLM,0.29,0.8582633053221288,0.8309114927344782,0.8784046692607004,35566016.49999986,50971431.09051144
GLM,0.3,0.8599439775910365,0.8243064729194187,0.8861867704280155,37622719.05555555,50971431.09051144
GLM,0.31,0.8593837535014006,0.8190224570673712,0.8891050583657587,38539671.50000007,50971431.09051144
GLM,0.32,0.8599439775910365,0.8150594451783355,0.8929961089494164,39524846.88888895,50971431.09051144
GLM,0.33,0.8571428571428571,0.8071334214002642,0.8939688715953308,40749642.3888891,50971431.09051144
GLM,0.33999999999999997,0.8554621848739495,0.8005284015852048,0.8959143968871596,41532397.444444686,50971431.09051144
GLM,0.35,0.8549019607843137,0.7965653896961691,0.8978599221789884,42283939.4444447,50971431.09051144
GLM,0.36,0.8554621848739495,0.7952443857331571,0.8998054474708171,42379290.55555581,50971431.09051144
GLM,0.37,0.8560224089635854,0.7926023778071334,0.9027237354085603,43258191.61111148,50971431.09051144
GLM,0.38,0.8554621848739495,0.7899603698811096,0.9036964980544747,43464329.055555925,50971431.09051144
GLM,0.39,0.8543417366946778,0.7859973579920739,0.9046692607003891,44208746.27777814,50971431.09051144
GLM,0.4,0.853781512605042,0.7820343461030383,0.9066147859922179,44766995.3333337,50971431.09051144
GLM,0.41,0.8560224089635854,0.7820343461030383,0.9105058365758755,45723174.555555955,50971431.09051144
GLM,0.42,0.8571428571428571,0.7807133421400264,0.9134241245136187,47043841.77777821,50971431.09051144
GLM,0.43,0.8565826330532212,0.7793923381770145,0.9134241245136187,47154952.88888932,50971431.09051144
GLM,0.44,0.8565826330532212,0.7767503302509907,0.9153696498054474,48844794.5000004,50971431.09051144
GLM,0.45,0.853781512605042,0.7701453104359313,0.9153696498054474,49562634.88888928,50971431.09051144
