position,n,auc_glm,auc_rf
DB,391,0.8925802879291248,0.9235006119951018
DL,204,0.9140625000000003,0.9291087962962966
K,34,0.9169960474308302,0.9130434782608697
LB,255,0.9211700389594067,0.9355598843785349
LS,17,NA,NA
OL,374,0.925915258576548,0.959357398873529
P,17,0.5,0.75
QB,68,0.5126488095238094,0.7671130952380955
RB,119,0.9458689458689462,0.9635327635327634
TE,102,0.9434832756632063,0.9665513264129176
WR,204,0.9250577589526379,0.9523969965344636
