position,cap_at_risk,players
OL,18037072.873046294,374
DB,7383727.328328299,391
LB,6083867.717484382,255
DL,5264731.376278613,204
QB,3177777.9710627734,68
WR,3045926.560554914,204
K,3043122.893490052,34
TE,2830550.783518291,102
RB,1669870.2854914595,119
P,458468.26400762546,17
LS,50575.988243290034,17
