week,cap_at_risk
1,3511916.6685353406
2,2142688.514273178
3,2224941.391076311
4,2337040.953215453
5,2570188.843229804
6,2713511.7983917883
7,2997666.3092740434
8,3270843.487310214
9,3638960.986205198
10,3466297.3163807984
12,3537785.5459957523
13,2635232.7673056345
14,2539345.3188540232
15,2947328.479262564
16,3495541.6440681345
17,3486689.7763327165
18,3529712.241795057
